Huntsville,Alabama,40
Naperville,Illinois,40
Santa Ynez,California,40
Southfield,Michigan,40
Chula Vista,California,40
Hyattsville,Maryland,40
Elizabeth City,North Carolina,40
Fayetteville,Arkansas,47
Chicago,Illinois,49
Batavia,New York,51
Westland,Michigan,53
Dover,Delaware,54
Cerritos,California,54
Claremont,New Hampshire,54
Fort Worth,Texas,54
Phoenix,Arizona,55
Torrance,California,55
College Station,Texas,55
Grandville,Michigan,56
Santa Maria,California,56
Fargo,North Dakota,57
Herndon,Virginia,57
Mcallen,Texas,57
Deer Park,New York,57
Hawthorne,California,57
Green Valley,Arizona,57
Miami,Florida,58
Mentor,Ohio,58
Mclean,Virginia,59
Baltimore,Maryland,60
Bakersfield,California,60
Los Angeles,California,60
Salt Lake City,Utah,60
West Hollywood,California,60
Austin,Texas,70
Ambler,Pennsylvania,72
Deltona,Florida,72
Parrish,Florida,72
Henderson,North Carolina,72
Conyers,Georgia,78
Middletown,New York,79
Ontario,New York,80
Little Rock,Arkansas,89
Strongsville,Ohio,89
Melbourne,Florida,94
Livingston,New Jersey,94
Pittsburgh,Pennsylvania,94
Port Orchard,Washington,95
Arroyo Grande,California,100
Norwalk,Connecticut,105
Shelburne,Vermont,109
San Diego,California,113
Maple Grove,Minnesota,115
Dallas,Texas,133
Denver,Colorado,139
Flemington,New Jersey,167
Houston,Texas,173
New York,New York,177
Elsberry,Missouri,190
Las Vegas,Nevada,318
Mount Laurel,New Jersey,342
Richardson,Texas,479
